Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\j.f.p. denjoy.jpg,345,512,"(72, 72)"
D:/Thesis/realism_data/realism\james wyatt and his granddaughter mary.jpg,2293,1721,"(75, 75)"
"D:/Thesis/realism_data/realism\jean charles persil, magistrate and deputy.jpg",526,650,"(96, 96)"
"D:/Thesis/realism_data/realism\jean vatout, deputy.jpg",523,650,"(96, 96)"
"D:/Thesis/realism_data/realism\jean-claude fulchiron 1774-1859, deputy, peer of france, and poet.jpg",508,650,"(96, 96)"
D:/Thesis/realism_data/realism\jean-louis greppo.jpg,399,512,"(72, 72)"
"D:/Thesis/realism_data/realism\jean-marie harle, deputy.jpg",515,512,
D:/Thesis/realism_data/realism\jean-marie-joseph deville.jpg,375,512,"(72, 72)"
D:/Thesis/realism_data/realism\jimieges.jpg,800,636,"(1, 1)"
"D:/Thesis/realism_data/realism\joachim-antoine-joseph gaudry, magistrate.jpg",425,512,
D:/Thesis/realism_data/realism\john ruskin.jpg,1992,2316,"(72, 72)"
D:/Thesis/realism_data/realism\josef strommer as a hunter.jpg,2763,3508,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\jules favre.jpg,396,512,"(72, 72)"
D:/Thesis/realism_data/realism\kamennoostrovsky bridge.jpg,549,690,"(72, 72)"
D:/Thesis/realism_data/realism\kee-o-kuk the running fox.jpg,500,356,"(96, 96)"
"D:/Thesis/realism_data/realism\knight's hall in verkiai palace, vilnius, lithuania.jpg",800,550,"(72, 72)"
"D:/Thesis/realism_data/realism\kút-tee-o-túb-bee, how did he kill, a noted brave choctaw.jpg",1100,1351,"(0, 0)"
D:/Thesis/realism_data/realism\la bacchante.jpg,425,340,
"D:/Thesis/realism_data/realism\la cervara, the roman countryside.jpg",1077,766,
D:/Thesis/realism_data/realism\la galerie de notre-dame in paris.jpg,1232,2081,"(96, 96)"
"D:/Thesis/realism_data/realism\la hacienda buenavista en ponce, puerto rico.jpg",1280,755,"(72, 72)"
D:/Thesis/realism_data/realism\la rochelle quarry near the port entrance.jpg,1031,602,
"D:/Thesis/realism_data/realism\la rochelle, harbor entrance.jpg",1876,1200,"(96, 96)"
D:/Thesis/realism_data/realism\laboulie.jpg,379,512,"(72, 72)"
"D:/Thesis/realism_data/realism\lake nemi, seen through trees.jpg",901,685,
"D:/Thesis/realism_data/realism\landscape at mornex, haute savoie.jpg",1129,724,
"D:/Thesis/realism_data/realism\landscape at vigerie, valley santoire, auvergne.jpg",670,455,"(72, 72)"
D:/Thesis/realism_data/realism\landscape in auvergne near puy.jpg,758,474,"(96, 96)"
D:/Thesis/realism_data/realism\landscape in auvergne.jpg,758,514,"(96, 96)"
D:/Thesis/realism_data/realism\landscape in the auvergne.jpg,750,565,"(96, 96)"
"D:/Thesis/realism_data/realism\landscape near puits noir, near ornans.jpg",2024,1442,"(72, 72)"
"D:/Thesis/realism_data/realism\landscape of royat, study of trees.jpg",570,383,"(96, 96)"
D:/Thesis/realism_data/realism\landscape study.jpg,750,504,"(96, 96)"
D:/Thesis/realism_data/realism\landscape with cows.jpg,579,768,"(0, 0)"
D:/Thesis/realism_data/realism\landscape with farmland.jpg,1294,762,
D:/Thesis/realism_data/realism\landscape with figures by a river.jpg,1070,718,
D:/Thesis/realism_data/realism\landscape with pine.jpg,1000,740,
D:/Thesis/realism_data/realism\landscape with poplars.jpg,1294,523,
"D:/Thesis/realism_data/realism\landscape, courrières, france.jpg",944,678,"(72, 72)"
D:/Thesis/realism_data/realism\landscape.jpg,600,422,"(150, 150)"
D:/Thesis/realism_data/realism\larabit.jpg,355,512,"(72, 72)"
D:/Thesis/realism_data/realism\last supper.jpg,1211,838,"(300, 300)"
"D:/Thesis/realism_data/realism\laurent cunin, also called cunin-gridaine, 1787-1859, deputy and peer of france.jpg",950,1198,"(72.0, 72.0)"
D:/Thesis/realism_data/realism\le chateau de thoraise.jpg,3000,2253,"(600, 600)"
"D:/Thesis/realism_data/realism\le havre, francais tower.jpg",1000,666,"(72, 72)"
D:/Thesis/realism_data/realism\le havre. entrance to the port..jpg,1016,645,"(1, 1)"
D:/Thesis/realism_data/realism\le petit pont.jpg,2921,4000,"(72, 72)"
D:/Thesis/realism_data/realism\le pont neuf daguerreotype.jpg,303,275,"(72, 72)"
D:/Thesis/realism_data/realism\le pont-au-change.jpg,956,445,"(72, 72)"
D:/Thesis/realism_data/realism\le stryge.jpg,818,1024,"(240, 240)"
D:/Thesis/realism_data/realism\leconte de lisle.jpg,831,1200,"(300, 300)"
"D:/Thesis/realism_data/realism\les alinges, haute savoie, figures under the trees.jpg",932,718,"(350, 350)"
D:/Thesis/realism_data/realism\lherbette.jpg,384,512,"(72, 72)"
D:/Thesis/realism_data/realism\lion and prey also known as the kill.jpg,946,757,"(350, 350)"
D:/Thesis/realism_data/realism\living room with the artist's sister.jpg,697,1023,"(72, 72)"
D:/Thesis/realism_data/realism\locks on the loue.jpg,999,819,
D:/Thesis/realism_data/realism\lormes shepherdess sitting under trees beside a stream.jpg,994,724,
"D:/Thesis/realism_data/realism\lormes, a waterfall with a standing peasant, spinning wool.jpg",931,766,
D:/Thesis/realism_data/realism\louise-antoinette feuardent.jpg,393,480,"(72, 72)"
D:/Thesis/realism_data/realism\low tide.jpg,750,593,"(300, 300)"
D:/Thesis/realism_data/realism\léon faucher.jpg,330,512,"(72, 72)"
"D:/Thesis/realism_data/realism\madame corot, the artist's mother, born marie francoise oberson.jpg",529,669,
D:/Thesis/realism_data/realism\madonna.jpg,2753,3508,"(72.0, 72.0)"
"D:/Thesis/realism_data/realism\mah-to-toh-pe four bears, mandan chief.jpg",274,401,"(200, 200)"
D:/Thesis/realism_data/realism\malhec rocks in the valley of saint-vincent.jpg,678,515,"(72, 72)"
D:/Thesis/realism_data/realism\man with a hat.jpg,750,1018,"(151, 151)"
D:/Thesis/realism_data/realism\manor farm cousin in greville.jpg,2024,1603,"(300, 300)"
D:/Thesis/realism_data/realism\mariana.jpg,630,800,"(300, 300)"
D:/Thesis/realism_data/realism\marie jacque.jpg,275,353,"(72, 72)"
D:/Thesis/realism_data/realism\marie-michel altaroche.jpg,384,512,"(72, 72)"
D:/Thesis/realism_data/realism\mariinsky palace as seen from the blue bridge.jpg,498,349,"(72, 72)"
D:/Thesis/realism_data/realism\market in normandy.jpg,1541,1200,"(96, 96)"
D:/Thesis/realism_data/realism\market in szolnok with the holy trinity column.jpg,4493,3465,"(300, 300)"
D:/Thesis/realism_data/realism\marshland in les landes.jpg,758,494,"(96, 96)"
D:/Thesis/realism_data/realism\meadows crossed by a river.jpg,768,422,
D:/Thesis/realism_data/realism\melancholy italian woman rome.jpg,4096,4561,"(300, 300)"
D:/Thesis/realism_data/realism\mexican news.jpg,1800,1964,
D:/Thesis/realism_data/realism\modern galilee. and nevertheless it moves.jpg,705,600,"(96, 96)"
D:/Thesis/realism_data/realism\monastery of sant’urbano ai pantani.jpg,2000,1621,"(300, 300)"
D:/Thesis/realism_data/realism\monk gives food to the poor food for the poor.jpg,1023,747,"(72, 72)"
D:/Thesis/realism_data/realism\mont saint-michel.jpg,1292,740,
D:/Thesis/realism_data/realism\mont soracte.jpg,1077,769,
D:/Thesis/realism_data/realism\montalembert.jpg,354,512,"(72, 72)"
D:/Thesis/realism_data/realism\moonlit night.jpg,1000,682,
D:/Thesis/realism_data/realism\morning of the landlady.jpg,735,1006,
"D:/Thesis/realism_data/realism\morning, fog effect.jpg",939,686,
D:/Thesis/realism_data/realism\mount soracte.jpg,720,409,"(72, 72)"
D:/Thesis/realism_data/realism\mountain stream in the auvergne.jpg,1250,1042,"(500, 500)"
D:/Thesis/realism_data/realism\mountainous landscape in cantal.jpg,450,283,"(72, 72)"
D:/Thesis/realism_data/realism\mountains in auvergne.jpg,1142,787,
